1	6	1	6	1169	4	0	4	3	2	4	3	67	1	1	2	1	1	1	1	1
2	48	3	6	5951	1	2	2	0	2	2	3	22	1	1	1	1	1	0	1	0
3	12	1	2	2096	1	3	2	3	2	3	3	49	1	1	1	3	2	0	1	1
1	42	3	3	7882	1	3	2	3	1	4	1	45	1	0	1	1	2	0	1	1
1	24	2	4	4870	1	2	3	3	2	4	2	53	1	0	2	1	2	0	1	0
3	36	3	2	9055	4	2	2	3	2	4	2	35	1	0	1	3	2	1	1	1
3	24	3	3	2835	3	0	3	3	2	4	1	53	1	1	1	1	1	0	1	1
2	36	3	9	6948	1	2	2	3	2	2	0	35	1	2	1	0	1	1	1	1
3	12	3	6	3059	0	3	2	1	2	4	3	61	1	1	1	3	1	0	1	1
2	30	1	4	5234	1	4	4	2	2	2	0	28	1	1	2	0	1	0	1	0
2	12	3	4	1295	1	1	3	0	2	1	0	25	1	2	1	1	1	0	1	0
1	48	3	0	4308	1	1	3	0	2	4	1	24	1	2	1	1	1	0	1	0
2	12	3	6	1567	1	2	1	0	2	1	0	22	1	1	1	1	1	1	1	1
1	24	1	4	1199	1	0	4	3	2	4	0	60	1	1	2	3	1	0	1	0
1	15	3	4	1403	1	2	2	0	2	4	0	28	1	2	1	1	1	0	1	1
1	24	3	6	1282	2	2	4	0	2	2	0	32	1	1	1	3	1	0	1	0
3	24	1	6	2424	4	0	4	3	2	4	1	53	1	1	2	1	1	0	1	1
1	30	4	0	8072	4	1	2	3	2	3	0	25	0	1	3	1	1	0	1	1
2	24	3	9	12579	1	0	4	0	2	2	2	44	1	0	1	0	1	1	1	0
3	24	3	6	3430	3	0	3	3	2	2	0	31	1	1	1	1	2	1	1	1
3	9	1	4	2134	1	2	4	3	2	4	0	48	1	1	3	1	1	1	1	1
1	6	3	6	2647	3	2	2	3	2	3	3	44	1	2	1	1	2	0	1	1
1	10	1	4	2241	1	1	1	3	2	3	3	48	1	2	2	3	2	0	0	1
2	12	1	9	1804	2	1	3	3	2	4	1	44	1	1	1	1	1	0	1	1
3	10	1	3	2069	4	2	2	2	2	1	0	26	1	1	2	1	1	0	0	1
1	6	3	3	1374	1	2	1	3	2	2	3	36	0	1	1	3	1	1	1	1
3	6	4	6	426	1	0	4	2	2	4	0	39	1	1	1	3	1	0	1	1
0	12	0	6	409	0	2	3	0	2	3	3	42	1	2	2	1	1	0	1	1
2	7	3	6	2415	1	2	3	3	1	2	3	34	1	1	1	1	1	0	1	1
1	60	2	0	6836	1	0	3	3	2	4	2	63	1	1	2	1	1	1	1	0
2	18	3	0	1913	0	1	3	2	2	3	3	36	0	1	1	1	1	1	1	1
1	24	3	3	4020	1	2	2	3	2	2	0	27	2	1	1	1	1	0	1	1
2	18	3	4	5866	2	2	2	3	2	2	0	30	1	1	2	1	1	1	1	1
3	12	1	0	1264	4	0	4	3	2	4	2	57	1	2	1	3	1	0	1	1
0	12	3	3	1474	1	1	4	0	2	1	1	33	0	1	1	0	1	1	1	1
2	45	1	6	4746	1	1	4	3	2	2	1	25	1	1	2	3	1	0	1	0
3	48	1	2	6110	1	2	1	3	2	3	2	31	0	0	1	1	1	1	1	1
0	18	3	6	2100	1	2	4	3	0	2	3	37	2	1	1	1	1	0	1	0
0	10	3	1	1225	1	2	2	3	2	2	0	37	1	1	1	1	1	1	1	1
2	9	3	6	458	1	2	4	3	2	3	3	24	1	1	1	1	1	0	1	1
3	30	3	6	2333	3	0	4	3	2	2	0	30	0	1	1	0	1	0	1	1
2	12	3	6	1158	3	2	3	1	2	1	0	26	1	1	1	1	1	1	1	1
2	18	2	7	6204	1	2	2	3	2	4	3	44	1	1	1	3	2	1	1	1
1	30	1	9	6187	2	3	1	2	2	4	0	24	1	2	2	1	1	0	1	1
1	48	1	9	6143	1	0	4	0	2	4	2	58	2	0	2	3	1	0	1	0
3	11	1	4	1393	1	1	4	0	2	4	0	35	1	1	2	0	1	0	1	1
3	36	3	6	2299	3	0	4	3	2	4	0	39	1	1	1	1	1	0	1	1
1	6	3	9	1352	3	4	1	0	2	2	1	23	1	2	1	2	1	1	1	1
3	11	1	4	7228	1	2	1	3	2	4	1	39	1	1	2	3	1	0	1	1
3	12	3	6	2073	2	2	4	0	0	2	3	28	1	1	1	1	1	0	1	1
2	24	2	3	2333	4	1	4	3	2	2	1	29	0	1	1	3	1	0	1	1
2	27	2	9	5965	1	0	1	3	2	2	0	30	1	1	2	0	1	1	1	1
3	12	3	6	1262	1	2	3	3	2	2	0	25	1	1	1	1	1	0	1	1
3	18	3	9	3378	4	2	2	3	2	1	1	31	1	1	1	1	1	1	1	1
2	36	2	4	2225	1	0	4	3	2	4	2	57	0	0	2	1	1	1	1	0
3	6	0	4	783	4	2	1	3	1	2	3	26	2	1	1	3	2	0	1	1
2	12	3	6	6468	4	4	2	3	2	1	2	52	1	1	1	0	1	1	1	0
3	36	1	6	9566	1	2	2	0	2	2	0	31	2	1	2	1	1	0	1	1
0	18	3	4	1961	1	0	3	0	2	2	0	23	1	1	1	0	1	0	1	1
