1	113	3	2	1	0
1	101	7	2	0	0
1	110	10	25	1	1
1	121	5	18	1	0
1	82	6	0	2	0
1	85	6	2	2	0
1	84	7	28	0	0
1	98	4	12	2	0
1	92	6	5	2	0
1	90	7	0	0	0
1	88	6	2	2	0
1	84	6	0	2	0
1	114	0	0	1	1
1	70	6	18	2	0
1	109	10	10	1	1
1	83	6	12	2	0
1	108	6	25	2	0
1	95	3	12	1	0
1	90	6	2	2	0
1	107	10	2	1	1
1	86	7	0	0	0
1	70	4	12	2	0
1	114	10	28	1	1
1	117	10	11	1	1
1	112	10	12	1	1
1	88	0	28	1	1
1	106	0	11	1	1
1	125	0	2	1	1
1	94	10	28	1	1
1	103	5	28	1	0
1	123	10	13	1	1
1	100	6	6	2	0
1	90	3	1	1	0
1	70	6	16	2	0
1	90	3	13	1	0
1	99	3	28	1	0
1	123	3	12	1	0
1	127	10	12	1	1
1	124	10	21	1	1
1	110	9	1	2	0
1	94	10	12	1	1
1	112	10	10	1	1
1	123	10	6	1	1
1	70	3	0	1	0
1	102	6	12	2	0
1	126	0	1	1	1
1	121	10	10	1	1
1	100	4	12	2	0
1	85	4	4	2	0
1	86	6	4	2	0
1	101	4	2	2	0
1	91	5	10	1	0
1	113	10	12	1	1
1	103	6	5	2	0
1	117	8	0	1	0
1	72	4	12	2	0
1	70	7	0	0	0
1	112	3	0	1	0
1	65	7	0	0	0
1	97	5	6	1	0
1	100	6	12	2	0
1	99	6	0	2	0
1	91	4	2	2	0
1	107	2	12	1	0
1	94	4	12	2	0
1	104	5	7	1	0
1	117	10	28	1	1
1	104	5	12	1	0
1	115	2	24	1	0
0	123	8	6	1	0
0	103	5	12	1	0
0	109	6	12	2	0
0	99	5	20	1	0
0	100	0	14	1	1
0	100	5	21	1	0
0	107	10	10	1	1
0	70	7	0	0	0
0	91	5	3	1	0
0	117	10	12	1	1
0	115	10	18	1	1
0	93	5	12	1	0
0	103	10	3	1	1
0	99	5	18	1	0
0	115	3	7	1	0
0	104	10	9	1	1
0	116	5	14	1	0
0	94	3	16	1	0
0	114	0	12	1	1
0	113	5	0	1	0
0	106	4	28	2	0
0	119	10	18	1	1
0	114	10	15	1	1
0	108	10	1	1	1
0	97	3	13	1	0
0	83	7	2	0	0
0	103	5	12	1	0
0	104	5	22	1	0
0	97	5	0	1	0
0	109	5	25	1	0
0	90	5	5	1	0
0	114	6	2	2	0
0	99	5	9	1	0
0	94	10	6	1	1
0	86	5	2	1	0
0	93	10	6	1	1
0	91	6	2	2	0
0	109	8	10	1	0
0	91	5	2	1	0
0	106	6	2	2	0
0	109	10	12	1	1
0	111	5	16	1	0
0	111	5	28	1	0
0	106	6	28	2	0
0	86	6	10	2	0
0	107	3	0	1	0
0	103	7	2	0	0
0	100	3	0	1	0
0	101	5	9	1	0
0	97	4	7	2	0
0	105	6	13	2	0
0	98	4	8	2	0
0	111	5	0	1	0
0	88	3	18	1	0
0	123	5	2	1	0
0	98	5	5	1	0
0	94	6	12	2	0
0	109	5	2	1	0
0	70	7	0	0	0
0	75	4	5	2	0
0	72	10	0	1	1
0	70	4	0	2	0
0	70	7	0	0	0
0	70	7	0	0	0
0	70	7	0	0	0
0	85	7	0	0	0
0	108	6	2	2	0
